,0,1,2,3,4,5
87,2019-10-14,BPP,กองทุนเปิด  บัวหลวงหุ้นระยะยาว 75/25,"20,426,400",18.50,0.67
88,2019-10-14,BPP,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"16,143,636",18.50,0.53
89,2019-10-14,BTS,นาย คีรี กาญจนพาสน์,"3,099,221,052",13.50,24.68
90,2019-10-14,BTS,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"1,233,828,930",13.50,9.83
91,2019-10-14,BTS,นาย กวิน กาญจนพาสน์,"602,705,195",13.50,4.80
92,2019-10-14,BTS,ธนาคาร  กรุงเทพ จำกัด (มหาชน),"545,466,733",13.50,4.34
93,2019-10-14,BTS,"CREDIT SUISSE AG, SINGAPORE BRANCH","538,011,200",13.50,4.28
94,2019-10-14,BTS,บริษัท  เค ทู เจ โฮลดิ้ง จำกัด,"360,000,000",13.50,2.87
95,2019-10-14,BTS,UBS AG HONG KONG BRANCH,"350,000,000",13.50,2.79
96,2019-10-14,BTS,สำนักงานประกันสังคม,"308,758,900",13.50,2.46
97,2019-10-14,BTS,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"263,247,687",13.50,2.10
98,2019-10-14,BTS,STATE STREET EUROPE LIMITED,"161,516,725",13.50,1.29
99,2019-10-14,CBG,บริษัท  เสถียรธรรมโฮลดิ้ง จำกัด,"250,064,500",79.00,25.01
100,2019-10-14,CBG,น.ส. ณัฐชไม ถนอมบูรณ์เจริญ,"210,000,000",79.00,21.00
101,2019-10-14,CBG,นาย ยืนยง โอภากุล,"70,480,000",79.00,7.05
102,2019-10-14,CBG,นาย เสถียร เศรษฐสิทธิ์,"48,474,100",79.00,4.85
103,2019-10-14,CBG,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"36,820,283",79.00,3.68
104,2019-10-14,CBG,นาย ประชา ดำรงค์สุทธิพงศ์,"29,054,200",79.00,2.91
105,2019-10-14,CBG,นาง ลินจง โอภากุล,"26,145,800",79.00,2.61
106,2019-10-14,CBG,UBS AG SINGAPORE BRANCH,"25,161,400",79.00,2.52
107,2019-10-14,CBG,นาง จารุณี ชินวงศ์วรกุล,"24,246,600",79.00,2.42
108,2019-10-14,CBG,Northend Investment Limited,"20,000,000",79.00,2.00
109,2019-10-14,CPALL,บริษัท  ซี.พี.เมอร์แชนไดซิ่ง จำกัด,"2,723,884,000",81.00,30.32
110,2019-10-14,CPALL,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"809,566,015",81.00,9.01
111,2019-10-14,CPALL,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"632,696,984",81.00,7.04
112,2019-10-14,CPALL,STATE STREET EUROPE LIMITED,"302,028,149",81.00,3.36
113,2019-10-14,CPALL,บริษัท  ยู เอ็น เอส อโกรเคมีคัล จำกัด,"180,000,000",81.00,2.00
114,2019-10-14,CPALL,SE ASIA (TYPE B) NOMINEES LLC,"147,583,092",81.00,1.64
115,2019-10-14,CPALL,UBS AG LONDON BRANCH,"143,008,158",81.00,1.59
116,2019-10-14,CPALL,GIC PRIVATE LIMITED,"132,549,641",81.00,1.48
117,2019-10-14,CPALL,BNY MELLON NOMINEES LIMITED,"125,728,541",81.00,1.40
118,2019-10-14,CPALL,SOUTH EAST ASIA UK (TYPE A) NOMINEES LIMITED,"125,436,530",81.00,1.40
119,2019-10-14,CPF,บริษัท  เครือเจริญโภคภัณฑ์ จำกัด,"2,113,315,835",26.50,24.54
120,2019-10-14,CPF,UBS AG LONDON BRANCH,"882,749,107",26.50,10.25
121,2019-10-14,CPF,บริษัท  เจริญโภคภัณฑ์โฮลดิ้ง จำกัด,"787,319,960",26.50,9.14
122,2019-10-14,CPF,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"774,520,758",26.50,8.99
123,2019-10-14,CPF,GIC PRIVATE LIMITED,"335,231,332",26.50,3.89
124,2019-10-14,CPF,สำนักงานประกันสังคม,"302,520,000",26.50,3.51
125,2019-10-14,CPF,บริษัท  ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"244,631,928",26.50,2.84
126,2019-10-14,CPF,STATE STREET EUROPE LIMITED,"200,202,750",26.50,2.32
127,2019-10-14,CPF,UBS AG HONG KONG BRANCH,"175,225,373",26.50,2.03
128,2019-10-14,CPF,WORTH ACCESS TRADING LIMITED,"145,922,200",26.50,1.69
129,2019-10-14,CPN,บริษัท  เซ็นทรัลโฮลดิ้ง จำกัด,"1,176,343,960",63.00,26.21
130,2019-10-14,CPN,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"272,728,788",63.00,6.08
131,2019-10-14,CPN,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"144,153,781",63.00,3.21
